id,age,cog,program,age_c
32,2,91,1,1
33,1,103,1,0
33,1.5,105,1,0.5
33,2,102,1,1
34,1,105,1,0
34,1.5,107,1,0.5
34,2,92,1,1
35,1,127,1,0
35,1.5,114,1,0.5
35,2,109,1,1
36,1,112,1,0
36,1.5,101,1,0.5
36,2,76,1,1
37,1,94,1,0
37,1.5,98,1,0.5
37,2,84,1,1
38,1,111,1,0
38,1.5,101,1,0.5
38,2,110,1,1
39,1,120,1,0
39,1.5,114,1,0.5
39,2,109,1,1
40,1,108,1,0
40,1.5,101,1,0.5
40,2,92,1,1
41,1,94,1,0
41,1.5,105,1,0.5
41,2,101,1,1
42,1,113,1,0
42,1.5,114,1,0.5
42,2,92,1,1
43,1,99,1,0
43,1.5,86,1,0.5
43,2,72,1,1
44,1,134,1,0
44,1.5,122,1,0.5
44,2,108,1,1
45,1,124,1,0
45,1.5,90,1,0.5
45,2,99,1,1
46,1,120,1,0
46,1.5,142,1,0.5
46,2,111,1,1
47,1,106,1,0
47,1.5,103,1,0.5
47,2,93,1,1
48,1,85,1,0
48,1.5,88,1,0.5
48,2,90,1,1
49,1,128,1,0
49,1.5,115,1,0.5
49,2,92,1,1
50,1,119,1,0
50,1.5,131,1,0.5
50,2,108,1,1
51,1,95,1,0
51,1.5,122,1,0.5
51,2,97,1,1
52,1,132,1,0
52,1.5,125,1,0.5
52,2,109,1,1
53,1,113,1,0
53,1.5,96,1,0.5
53,2,86,1,1
54,1,155,1,0
54,1.5,116,1,0.5
54,2,117,1,1
68,1,103,1,0
68,1.5,119,1,0.5
68,2,96,1,1
70,1,106,1,0
70,1.5,107,1,0.5
70,2,96,1,1
71,1,112,1,0
71,1.5,86,1,0.5
71,2,73,1,1
72,1,100,1,0
72,1.5,93,1,0.5
72,2,87,1,1
902,1,119,0,0
902,1.5,93,0,0.5
902,2,99,0,1
904,1,112,0,0
904,1.5,98,0,0.5
904,2,79,0,1
906,1,89,0,0
906,1.5,66,0,0.5
906,2,81,0,1
908,1,117,0,0
908,1.5,90,0,0.5
908,2,76,0,1
955,1,132,0,0
955,1.5,124,0,0.5
955,2,113,0,1
956,1,119,0,0
956,1.5,113,0,0.5
956,2,83,0,1
957,1,124,0,0
957,1.5,115,0,0.5
957,2,93,0,1
958,1,89,0,0
958,1.5,86,0,0.5
958,2,71,0,1
959,1,93,0,0
959,1.5,98,0,0.5
959,2,97,0,1
960,1,101,0,0
960,1.5,90,0,0.5
960,2,82,0,1
961,1,104,0,0
961,1.5,84,0,0.5
961,2,85,0,1
962,1,100,0,0
962,1.5,85,0,0.5
962,2,75,0,1
963,1,94,0,0
963,1.5,102,0,0.5
963,2,105,0,1
964,1,101,0,0
964,1.5,83,0,0.5
964,2,80,0,1
965,1,99,0,0
965,1.5,90,0,0.5
965,2,97,0,1
966,1,102,0,0
966,1.5,103,0,0.5
966,2,90,0,1
967,1,101,0,0
967,1.5,95,0,0.5
967,2,77,0,1
968,1,99,0,0
968,1.5,97,0,0.5
968,2,64,0,1
969,1,118,0,0
969,1.5,121,0,0.5
969,2,80,0,1
970,1,119,0,0
970,1.5,81,0,0.5
970,2,72,0,1
971,1,105,0,0
971,1.5,89,0,0.5
971,2,93,0,1
972,1,98,0,0
972,1.5,98,0,0.5
972,2,76,0,1
973,1,100,0,0
973,1.5,104,0,0.5
973,2,93,0,1
974,1,108,0,0
974,1.5,96,0,0.5
974,2,98,0,1
975,1,97,0,0
975,1.5,100,0,0.5
975,2,78,0,1
976,1,120,0,0
976,1.5,87,0,0.5
976,2,79,0,1
977,1,103,0,0
977,1.5,91,0,0.5
977,2,67,0,1
978,1,101,0,0
978,1.5,97,0,0.5
978,2,69,0,1
979,1,113,0,0
979,1.5,105,0,0.5
979,2,87,0,1
980,1,102,0,0
980,1.5,103,0,0.5
980,2,86,0,1
981,1,86,0,0
981,1.5,91,0,0.5
981,2,74,0,1
982,1,122,0,0
982,1.5,107,0,0.5
982,2,92,0,1
983,1,98,0,0
983,1.5,96,0,0.5
983,2,88,0,1
984,1,117,0,0
984,1.5,83,0,0.5
984,2,91,0,1
985,1,101,0,0
985,1.5,84,0,0.5
985,2,98,0,1
986,1,113,0,0
986,1.5,81,0,0.5
986,2,82,0,1
987,1,105,0,0
987,1.5,77,0,0.5
987,2,102,0,1
988,1,124,0,0
988,1.5,101,0,0.5
988,2,89,0,1
989,1,106,0,0
989,1.5,84,0,0.5
989,2,78,0,1
990,1,118,0,0
990,1.5,107,0,0.5
990,2,104,0,1
991,1,121,0,0
991,1.5,105,0,0.5
991,2,91,0,1
992,1,130,0,0
992,1.5,102,0,0.5
992,2,101,0,1
993,1,117,0,0
993,1.5,105,0,0.5
993,2,99,0,1
994,1,88,0,0
994,1.5,85,0,0.5
994,2,73,0,1
995,1,93,0,0
995,1.5,106,0,0.5
995,2,104,0,1
